anio;pib
2001;23127055
2002;27054197
2003;30965208
2004;35194947
2005;40278849
2006;45690762
2007;49848725
2008;61139438
2009;60094978
2010;68151329
2011;78986648
2012;87735048
2013;96570334
2014;102717794
2015;97209558
2016;97671433
2017;104467486
2018;107478961
2019;107595830
2020;95865473
2021;107179074
2022;116133121
2023;120792801
2024;123802374
2025;130320560
